Sub District Code,Granularity,Name,Type,villages_Inhabited,villages_Uninhabited,towns,households,Persons,Males,Females,Area,Density
20,SUB-DISTRICT,Thanamandi,Rural,32,0,0,"12,673","67,773","35,472","32,301",144.51,431
20,SUB-DISTRICT,Thanamandi,Urban,32,0,1,971,"62,283","32,373","29,910",4.18,"1,313"
21,SUB-DISTRICT,Darhal,Total,0,0,0,"7,612","5,490","3,099","2,391",80.3,451
21,SUB-DISTRICT,Darhal,Rural,11,1,0,"7,612","36,227","19,121","17,106",80.3,451
21,SUB-DISTRICT,Darhal,Urban,11,1,0,0,"36,227","19,121","17,106",0,0
22,SUB-DISTRICT,Rajauri,Total,0,0,1,"36,640",0,0,0,593.49,319
22,SUB-DISTRICT,Rajauri,Rural,118,3,0,"32,276","1,89,067","1,03,307","85,760",580.6,275
22,SUB-DISTRICT,Rajauri,Urban,118,3,1,"4,364","1,59,581","84,130","75,451",12.89,"2,288"
23,SUB-DISTRICT,Budhal,Total,0,0,0,"23,676","29,486","19,177","10,309",468.25,263
23,SUB-DISTRICT,Budhal,Rural,51,1,0,"23,676","1,23,050","64,990","58,060",468.25,263
23,SUB-DISTRICT,Budhal,Urban,51,1,0,0,"1,23,050","64,990","58,060",0,0
24,SUB-DISTRICT,Kalakote,Total,0,0,0,"16,243",0,0,0,412.96,176
24,SUB-DISTRICT,Kalakote,Rural,68,1,0,"16,243","72,667","37,864","34,803",412.96,176
24,SUB-DISTRICT,Kalakote,Urban,68,1,0,0,"72,667","37,864","34,803",0,0
25,SUB-DISTRICT,Nowshehra,Total,0,0,1,"18,323",0,0,0,482.03,185
25,SUB-DISTRICT,Nowshehra,Rural,52,4,0,"17,040","89,416","50,146","39,270",477.4,165
25,SUB-DISTRICT,Nowshehra,Urban,52,4,1,"1,283","79,008","42,417","36,591",4.63,"2,248"
26,SUB-DISTRICT,Sunderbani,Total,0,0,1,"14,263","10,408","7,729","2,679",333.43,193
26,SUB-DISTRICT,Sunderbani,Rural,43,0,0,"13,125","64,215","34,451","29,764",333.24,172
26,SUB-DISTRICT,Sunderbani,Urban,43,0,1,"1,138","57,285","29,853","27,432",0.19,"36,474"
0,DISTRICT,Kathua,Total,0,0,6,"1,19,583","6,930","4,598","2,332",2502,246
0,DISTRICT,Kathua,Rural,496,16,0,"1,01,651","6,16,435","3,26,109","2,90,326",2458.84,214
0,DISTRICT,Kathua,Urban,496,16,6,"17,932","5,26,722","2,78,126","2,48,596",43.16,"2,079"
27,SUB-DISTRICT,Billawar,Total,0,0,1,"28,687","89,713","47,983","41,730",675.12,223
27,SUB-DISTRICT,Billawar,Rural,65,1,0,"27,785","1,50,882","79,699","71,183",668.77,218
27,SUB-DISTRICT,Billawar,Urban,65,1,1,902,"1,45,904","77,072","68,832",6.35,784
28,SUB-DISTRICT,Bashohli,Total,0,0,1,"13,312","4,978","2,627","2,351",344.24,206
28,SUB-DISTRICT,Bashohli,Rural,38,1,0,"12,206","70,810","37,177","33,633",341.63,191
28,SUB-DISTRICT,Bashohli,Urban,38,1,1,"1,106","65,377","34,351","31,026",2.61,"2,082"
29,SUB-DISTRICT,Bani,Total,0,0,0,"8,096","5,433","2,826","2,607",468.12,98
29,SUB-DISTRICT,Bani,Rural,33,0,0,"8,096","45,996","23,889","22,107",468.12,98
29,SUB-DISTRICT,Bani,Urban,33,0,0,0,"45,996","23,889","22,107",0,0
30,SUB-DISTRICT,Kathua,Total,0,0,3,"41,206",0,0,0,563.89,374
30,SUB-DISTRICT,Kathua,Rural,163,8,0,"27,005","2,10,949","1,12,702","98,247",533.69,262
30,SUB-DISTRICT,Kathua,Urban,163,8,3,"14,201","1,39,941","74,698","65,243",30.2,"2,351"
31,SUB-DISTRICT,Hiranagar,Total,0,0,1,"28,282","71,008","38,004","33,004",388.92,354
31,SUB-DISTRICT,Hiranagar,Rural,197,6,0,"26,559","1,37,798","72,642","65,156",384.92,336
31,SUB-DISTRICT,Hiranagar,Urban,197,6,1,"1,723","1,29,504","68,116","61,388",4,"2,074"
0,DISTRICT,Baramula,Total,0,0,7,"1,52,635","8,294","4,526","3,768",4243,238
0,DISTRICT,Baramula,Rural,509,9,0,"1,25,346","10,08,039","5,34,733","4,73,306",4179.44,198
0,DISTRICT,Baramula,Urban,509,9,7,"27,289","8,25,539","4,32,399","3,93,140",63.56,"2,871"
32,SUB-DISTRICT,Sopore,Total,0,0,1,"33,709","1,82,500","1,02,334","80,166",170.09,"1,293"
32,SUB-DISTRICT,Sopore,Rural,57,1,0,"22,517","2,19,913","1,13,426","1,06,487",151.19,983
32,SUB-DISTRICT,Sopore,Urban,57,1,1,"11,192","1,48,621","75,856","72,765",18.9,"3,772"
33,SUB-DISTRICT,Rafiabad,Total,0,0,1,"14,178","71,292","37,570","33,722",113.34,817
33,SUB-DISTRICT,Rafiabad,Rural,77,0,0,"13,246","92,639","47,728","44,911",107.34,798
33,SUB-DISTRICT,Rafiabad,Urban,77,0,1,932,"85,624","43,789","41,835",6,"1,169"
34,SUB-DISTRICT,Pattan,Total,0,0,1,"28,428","7,015","3,939","3,076",181.34,"1,264"
34,SUB-DISTRICT,Pattan,Rural,94,1,0,"26,341","2,29,155","1,23,266","1,05,889",181.06,"1,158"
34,SUB-DISTRICT,Pattan,Urban,94,1,1,"2,087","2,09,617","1,10,686","98,931",0.28,"69,779"
35,SUB-DISTRICT,Baramulla,Total,0,0,1,"24,196","19,538","12,580","6,958",122.36,"1,223"
35,SUB-DISTRICT,Baramulla,Rural,42,0,0,"12,471","1,49,649","79,675","69,974",98.38,795
35,SUB-DISTRICT,Baramulla,Urban,42,0,1,"11,725","78,215","40,998","37,217",23.98,"2,979"
36,SUB-DISTRICT,Kreeri,Total,0,0,0,"11,402","71,434","38,677","32,757",84.19,795
36,SUB-DISTRICT,Kreeri,Rural,50,0,0,"11,402","66,954","34,447","32,507",84.19,795
36,SUB-DISTRICT,Kreeri,Urban,50,0,0,0,"66,954","34,447","32,507",0,0
37,SUB-DISTRICT,Uri,Total,0,0,1,"12,109",0,0,0,160.05,468
37,SUB-DISTRICT,Uri,Rural,41,7,0,"11,139","74,867","41,827","33,040",155.15,422
37,SUB-DISTRICT,Uri,Urban,41,7,1,970,"65,501","35,153","30,348",4.9,"1,911"
38,SUB-DISTRICT,Boniyar,Total,0,0,0,"11,912","9,366","6,674","2,692",95.59,759
38,SUB-DISTRICT,Boniyar,Rural,52,0,0,"11,912","72,564","39,566","32,998",95.59,759
38,SUB-DISTRICT,Boniyar,Urban,52,0,0,0,"72,564","39,566","32,998",0,0
39,SUB-DISTRICT,Tangmarg ,Total,0,0,2,"16,701",0,0,0,111.43,918
39,SUB-DISTRICT,Tangmarg ,Rural,96,0,0,"16,318","1,02,298","54,798","47,500",101.93,966
39,SUB-DISTRICT,Tangmarg ,Urban,96,0,2,383,"98,443","51,904","46,539",9.5,406
0,DISTRICT,Bandipore,Total,0,0,3,"58,392","3,855","2,894",961,345,"1,137"
0,DISTRICT,Bandipore,Rural,119,3,0,"48,794","3,92,232","2,07,680","1,84,552",295.37,"1,107"
0,DISTRICT,Bandipore,Urban,119,3,3,"9,598","3,26,871","1,72,263","1,54,608",49.63,"1,317"
40,SUB-DISTRICT,Gurez,Total,0,0,0,"5,026","65,361","35,417","29,944",44.66,851
40,SUB-DISTRICT,Gurez,Rural,28,0,0,"5,026","37,992","22,978","15,014",44.66,851
40,SUB-DISTRICT,Gurez,Urban,28,0,0,0,"37,992","22,978","15,014",0,0
41,SUB-DISTRICT,Bandipora,Total,0,0,1,"28,360",0,0,0,116.21,"1,529"
41,SUB-DISTRICT,Bandipora,Rural,41,1,0,"22,776","1,77,738","93,034","84,704",102.81,"1,368"
41,SUB-DISTRICT,Bandipora,Urban,41,1,1,"5,584","1,40,657","72,858","67,799",13.4,"2,767"
42,SUB-DISTRICT,Sonawari,Total,0,0,2,"25,006","37,081","20,176","16,905",184,959
42,SUB-DISTRICT,Sonawari,Rural,50,2,0,"20,992","1,76,502","91,668","84,834",147.77,"1,003"
42,SUB-DISTRICT,Sonawari,Urban,50,2,2,"4,014","1,48,222","76,427","71,795",36.23,781
0,DISTRICT,Srinagar,Total,0,0,5,"1,91,678","28,280","15,241","13,039",1979,625
0,DISTRICT,Srinagar,Rural,11,0,0,"2,844","12,36,829","6,51,124","5,85,705",1684.47,10
0,DISTRICT,Srinagar,Urban,11,0,5,"1,88,834","17,313","8,916","8,397",294.53,"4,141"
43,SUB-DISTRICT,Srinagar (North),Total,0,0,3,"1,88,079","12,19,516","6,42,208","5,77,308",298.07,"4,081"
43,SUB-DISTRICT,Srinagar (North),Rural,8,0,0,"1,710","12,16,358","6,40,847","5,75,511",11.59,941
43,SUB-DISTRICT,Srinagar (North),Urban,8,0,3,"1,86,369","10,910","5,725","5,185",286.48,"4,208"
44,SUB-DISTRICT,Srinagar (South),Total,0,0,2,"3,599","12,05,448","6,35,122","5,70,326",12.42,"1,648"
44,SUB-DISTRICT,Srinagar (South),Rural,3,0,0,"1,134","20,471","10,277","10,194",4.37,"1,465"
